,season,episode,rating,Michael,Dwight,Jim,Pam,Andy,Kevin,Angela,Oscar,Erin,Ryan,Darryl,Phyllis,Kelly,Jan,Toby,Stanley,Meredith,Nellie,Creed,Gabe,Roy
56,4.0,6.0,8.5,90.0,44.0,78.0,26.0,12.0,2.0,1.0,12.0,,,,2.0,,,10.0,10.0,1.0,,,,
57,4.0,7.0,8.2,82.0,36.0,69.0,23.0,7.0,2.0,7.0,7.0,,,,4.0,1.0,,16.0,2.0,5.0,,12.0,,
58,4.0,8.0,8.7,89.0,5.0,27.0,25.0,6.0,4.0,1.0,4.0,,10.0,3.0,3.0,15.0,30.0,4.0,3.0,1.0,,3.0,,
59,4.0,9.0,9.4,101.0,18.0,42.0,35.0,14.0,,14.0,,,,,1.0,,90.0,,1.0,,,,,
60,4.0,10.0,8.1,100.0,22.0,26.0,42.0,14.0,20.0,4.0,2.0,,,,9.0,7.0,,1.0,1.0,,,3.0,,
61,4.0,11.0,8.6,104.0,48.0,43.0,17.0,4.0,4.0,5.0,8.0,,70.0,,5.0,5.0,,8.0,6.0,1.0,,2.0,,
62,4.0,12.0,8.3,99.0,32.0,31.0,30.0,23.0,8.0,3.0,2.0,,14.0,13.0,9.0,6.0,,13.0,23.0,1.0,,1.0,,
63,4.0,13.0,7.8,76.0,10.0,21.0,34.0,14.0,9.0,4.0,5.0,,,6.0,2.0,1.0,,,,1.0,,4.0,,
64,4.0,14.0,9.3,167.0,49.0,77.0,47.0,12.0,23.0,17.0,4.0,,5.0,3.0,23.0,4.0,24.0,51.0,5.0,9.0,,8.0,,
65,5.0,1.0,8.8,130.0,61.0,68.0,36.0,31.0,14.0,26.0,24.0,,20.0,13.0,16.0,17.0,13.0,3.0,8.0,7.0,,5.0,,
66,5.0,2.0,8.3,64.0,14.0,29.0,9.0,12.0,13.0,2.0,7.0,,12.0,,6.0,3.0,,,5.0,23.0,,2.0,,
67,5.0,3.0,8.0,83.0,39.0,28.0,25.0,13.0,12.0,16.0,4.0,,,9.0,7.0,2.0,51.0,3.0,2.0,1.0,,2.0,,
68,5.0,4.0,8.1,94.0,33.0,36.0,11.0,7.0,5.0,8.0,5.0,,,8.0,24.0,,,,1.0,,,2.0,,14.0
69,5.0,5.0,8.1,101.0,38.0,25.0,25.0,44.0,5.0,8.0,6.0,,4.0,55.0,5.0,7.0,,,1.0,1.0,,2.0,,
70,5.0,6.0,8.5,73.0,99.0,111.0,34.0,29.0,2.0,6.0,,,6.0,1.0,4.0,23.0,,,4.0,1.0,,,,
71,5.0,7.0,8.2,77.0,16.0,22.0,14.0,69.0,2.0,10.0,38.0,,13.0,,2.0,15.0,,,3.0,5.0,,1.0,,
72,5.0,8.0,8.6,90.0,38.0,31.0,26.0,6.0,2.0,2.0,3.0,,18.0,,3.0,10.0,,29.0,,2.0,,2.0,,
73,5.0,9.0,8.8,100.0,29.0,31.0,58.0,18.0,3.0,23.0,31.0,,,,2.0,1.0,,2.0,4.0,1.0,,1.0,,
74,5.0,10.0,8.4,65.0,27.0,26.0,6.0,8.0,3.0,12.0,5.0,,,6.0,19.0,1.0,,15.0,4.0,36.0,,1.0,,
75,5.0,11.0,8.7,52.0,66.0,34.0,9.0,65.0,8.0,22.0,10.0,,,,3.0,2.0,,,2.0,6.0,,2.0,,
76,5.0,12.0,8.0,90.0,73.0,13.0,5.0,5.0,14.0,3.0,3.0,,,,4.0,2.0,,,5.0,2.0,,1.0,,
77,5.0,13.0,9.7,118.0,73.0,35.0,32.0,23.0,8.0,16.0,11.0,,,6.0,11.0,3.0,,,28.0,3.0,,4.0,,
78,5.0,14.0,8.2,55.0,25.0,34.0,35.0,27.0,,,1.0,,,,3.0,8.0,,,7.0,,,5.0,,
79,5.0,15.0,8.2,50.0,33.0,33.0,38.0,,18.0,19.0,13.0,,,,1.0,18.0,,,2.0,9.0,,2.0,,
80,5.0,16.0,8.0,86.0,31.0,35.0,32.0,,15.0,4.0,14.0,,,,11.0,9.0,,,2.0,3.0,,,,
81,5.0,17.0,8.7,113.0,71.0,39.0,24.0,12.0,10.0,,7.0,,,3.0,,,,,1.0,,,2.0,,
82,5.0,18.0,8.3,104.0,21.0,30.0,14.0,6.0,5.0,8.0,3.0,,,,3.0,7.0,,,2.0,1.0,,2.0,,
83,5.0,19.0,8.4,88.0,12.0,26.0,38.0,14.0,13.0,6.0,12.0,,,,3.0,6.0,,1.0,7.0,2.0,,1.0,,
84,5.0,20.0,8.3,78.0,17.0,35.0,65.0,16.0,10.0,3.0,1.0,,11.0,,2.0,1.0,,,4.0,,,1.0,,
85,5.0,21.0,8.7,46.0,28.0,28.0,45.0,18.0,2.0,,5.0,16.0,25.0,,1.0,5.0,,3.0,3.0,1.0,,2.0,,
86,5.0,22.0,8.7,95.0,83.0,27.0,18.0,31.0,1.0,,,,9.0,,5.0,1.0,,,1.0,,,,,
